source_id,source_title,clean_title,meal_type,ready_for_import,needs_user_decision,decision_reason,duplicate_risk,similar_existing_recipe,nutrition_status,photo_status,photo_path,user_decision
Все рецепты!R138 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 5.pdf | variant 5 завтрак,Легкие ленивые вареники,Лёгкие ленивые вареники,breakfast,yes,no,ready for re-review after staging cleanup: removed title from ingredients and parsed flour 30 г; salt/sweetener kept as source-level optional seasoning.,low,,pending_estimation_needed,generated,photos/selected53_r138_legkie_lenivye_vareniki.png,
Все рецепты!R375 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2000 вариант 3.pdf | variant 3 обед,макаронник ,Макаронник с куриным филе,lunch,yes,no,"ready for re-review after staging cleanup: removed title/portion rows and merged split pasta, chicken, milk, and garnish ingredients.",low,,pending_estimation_needed,generated,photos/selected53_r375_makaronnik_s_kurinym_file.png,
Все рецепты!R120 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 1.pdf | variant 1 обед,Грудка индейки с рисом и овощной нарезкой,Грудка индейки с рисом и овощной нарезкой,lunch,no,no,SKIP: user requested deletion; row retained for traceability.,low,,pending_estimation_needed,not_required_skipped,,SKIP — Удалить.
Все рецепты!R190 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1500 вариант 1.pdf | variant 1 обед,Грудка индейки с рисом и овощной нарезкой,Грудка индейки с рисом и овощной нарезкой,lunch,no,no,SKIP: user requested deletion; row retained for traceability.,low,,pending_estimation_needed,not_required_skipped,,SKIP — Удалить.
Все рецепты!R132 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 3.pdf | variant 3 ужин,"Салат с семгой, перепелиными яйцами и помидорами черри","Салат с семгой, перепелиными яйцами и помидорами черри",dinner,yes,no,"ready for re-review after staging cleanup: removed title fragments, merged cherry tomato range, and corrected quail egg household weight.",low,,pending_estimation_needed,generated,photos/selected53_r132_salat_s_semgoy_perepelinymi_yaytsami_i_pomidoram.png,
Все рецепты!R40 | SWBAND.CO | page/file 46,Шаурма фит,Шаурма фит,lunch,no,no,SKIP: user requested deletion; row retained for traceability.,high,Куриная шаурма в лаваше с йогуртовым соусом,pending_estimation_needed,generated,photos/selected53_r40_shaurma_fit.png,SKIP — Удалить.
Все рецепты!R357 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1900 вариант 6.pdf | variant 6 ужин,Салат Цезарь,Салат Цезарь,dinner,yes,no,APPROVED_PENDING_PHOTO: яйца оставлены как в рецепте; батон для сухариков задан как 60 г; photo generation still required before import.,low,,pending_estimation_needed,generated,photos/selected53_r357_salat_tsezar.png,APPROVED_PENDING_PHOTO — Яйца оставить как в рецепте; батон добавить в небольшом обычном количестве для сухариков.
Все рецепты!R145 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 6.pdf | variant 6 обед,"Картошка, тушенная с куриными сердечками","Картошка, тушенная с куриными сердечками",lunch,yes,no,"APPROVED_PENDING_PHOTO: картофель 150 г подтвержден пользователем; content resolved, photo generation still required before import.",low,,pending_estimation_needed,generated,photos/selected53_r145_kartoshka_tushennaya_s_kurinymi_serdechkami.png,APPROVED_PENDING_PHOTO — Подтвердить картофель 150 г: звучит нормально.
Все рецепты!R135 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 4.pdf | variant 4 обед,говяжья печень с отварным картофелем,Говяжья печень с отварным картофелем,lunch,yes,no,APPROVED_PENDING_PHOTO: картофель добавлен как 150 г и включен в шаги; photo generation still required before import.,low,,pending_estimation_needed,generated,photos/selected53_r135_govyazhya_pechen_s_otvarnym_kartofelem.png,"APPROVED_PENDING_PHOTO — Дописать и доделать рецепт: добавить картофель, его количество и шаги."
Все рецепты!R55 | SWBAND.CO | page/file 62,Печёные перцы с белой фасолью и травами,Печёные перцы с белой фасолью и травами,snack,yes,no,"ready for re-review after staging cleanup: parsed basil 15 г, merged olive oil, and added lemon juice 10 мл from source dressing line.",medium,Куриный суп с белой фасолью и кейлом / Овощной минестроне с белой фасолью,pending_estimation_needed,generated,photos/selected53_r55_pechenye_pertsy_s_beloy_fasolyu_i_travami.png,
Все рецепты!R65 | SWBAND.CO | page/file 73,"Салат с огурцом, редисом и творожным кремом","Салат с огурцом, редисом и творожным кремом",snack,yes,no,cleaned and staged,medium,"Омлет с беконом, гаудой и творожным сыром",pending_estimation_needed,generated,photos/selected53_r65_salat_s_ogurtsom_redisom_i_tvorozhnym_kremom.png,
Все рецепты!R66 | SWBAND.CO | page/file 74,Томатный салат с белой фасолью и базиликом,Томатный салат с белой фасолью и базиликом,snack,yes,no,cleaned and staged,medium,Куриный суп с белой фасолью и кейлом,pending_estimation_needed,generated,photos/selected53_r66_tomatnyy_salat_s_beloy_fasolyu_i_bazilikom.png,
Все рецепты!R64 | SWBAND.CO | page/file 72,Тёплый салат с чечевицей и томатами,Тёплый салат с чечевицей и томатами,snack,yes,no,ready for re-review after staging cleanup: parsed split source quantity for dry green lentils 180 г and clarified olive oil.,medium,"Средиземноморский салат с чечевицей, оливками и печеным перцем",pending_estimation_needed,generated,photos/selected53_r64_teplyy_salat_s_chechevitsey_i_tomatami.png,
Все рецепты!R70 | SWBAND.CO | page/file 78,Хрустящий салат с брокколи и нутом,Хрустящий салат с брокколи и нутом,snack,no,no,SKIP: user requested deletion; row retained for traceability.,medium,"Марокканский салат с помидорами, корицей и нутом",pending_estimation_needed,not_required_skipped,,SKIP — Удалить.
Все рецепты!R44 | SWBAND.CO | page/file 50,Бургер в пите с тахини йогуртом,Бургер в пите с кунжутным йогуртом,lunch,yes,no,"APPROVED_PENDING_PHOTO: тахини заменена на молотый кунжут, томаты заданы как 200 г; photo generation still required before import.",medium,Буррито в банке с фасолью и йогуртом,pending_estimation_needed,generated,photos/selected53_r44_burger_v_pite_s_kunzhutnym_yogurtom.png,"APPROVED_PENDING_PHOTO — Попробовать заменить тахини на аналог; если не получится, удалить рецепт. Количество томатов нужно дописать."
Все рецепты!R49 | SWBAND.CO | page/file 55,Хрустящие рулеты из лаваша с креветкой,Хрустящие рулеты из лаваша с креветкой,snack,yes,no,cleaned and staged,medium,Рулет из лаваша с тунцом,pending_estimation_needed,generated,photos/selected53_r49_hrustyaschie_rulety_iz_lavasha_s_krevetkoy.png,
Все рецепты!R76 | SWBAND.CO | page/file 85,Веганская окрошка на квасе с нутом,Веганская окрошка на квасе с нутом,lunch,yes,no,cleaned and staged,medium,Веганская шакшука с тофу,pending_estimation_needed,generated,photos/selected53_r76_veganskaya_okroshka_na_kvase_s_nutom.png,
Все рецепты!R72 | SWBAND.CO | page/file 80,Огуречный салат с мацони и грецким орехом,Огуречный салат с мацони и грецким орехом,snack,yes,no,cleaned and staged,medium,Йогурт с ягодным соусом и грецким орехом,pending_estimation_needed,generated,photos/selected53_r72_ogurechnyy_salat_s_matsoni_i_gretskim_orehom.png,
Все рецепты!R81 | SWBAND.CO | page/file 90,Гаспачо с белой фасолью,Гаспачо с белой фасолью,lunch,yes,no,ready for re-review after staging cleanup: moved OCR instruction text out of ingredients and completed chilling step.,medium,Овощной минестроне с белой фасолью / Куриный суп с белой фасолью,pending_estimation_needed,generated,photos/selected53_r81_gaspacho_s_beloy_fasolyu.png,
Все рецепты!R61 | SWBAND.CO | page/file 69,ПП-та6уле с булгуром и зеленью,ПП-табуле с булгуром и зеленью,snack,yes,no,cleaned and staged,medium,Омлет с творогом и зеленью,pending_estimation_needed,generated,photos/selected53_r61_pp_tabule_s_bulgurom_i_zelenyu.png,
Все рецепты!R142 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 5.pdf | variant 5 ужин,Горбуша стейки с вареным картофелем и овощной нарезкой,Горбуша стейки с вареным картофелем и овощной нарезкой,dinner,yes,no,"ready for re-review after staging cleanup: removed title fragments, parsed fish/potato/vegetables, and split the single OCR step into usable actions.",medium,"Стейк из форели с молодым картофелем / Лосось, запеченный в фольге",pending_estimation_needed,generated,photos/selected53_r142_gorbusha_steyki_s_varenym_kartofelem_i_ovoschnoy.png,
Все рецепты!R156 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 1.pdf | variant 1 перекус 2,"Йогурт питьевой 290 мл (например активия, без вкусов и сахара, по желанию можно добавить сахзам) яблоко или груша -1 шт",Питьевой йогурт с яблоком или грушей,snack,yes,no,"APPROVED_PENDING_PHOTO: сахзам удален, перекус оформлен без добавления подсластителя; photo generation still required before import.",low,,not_calculated_standalone_snack,generated,photos/selected53_r156_pitevoy_yogurt_s_yablokom_ili_grushey.png,"APPROVED_PENDING_PHOTO — Оставить перекус, но удалить сахзам."
Все рецепты!R123 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 2.pdf | variant 2 завтрак,Омлет с сыром,Омлет с сыром,breakfast,yes,no,ready for re-review after staging cleanup: merged split cheese and bread rows into complete ingredient records.,medium,"Омлет с беконом, гаудой и творожным сыром / Омлет с зеленью",pending_estimation_needed,generated,photos/selected53_r123_omlet_s_syrom.png,
Все рецепты!R152 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 7.pdf | variant 7 ужин,Салат из кальмаров и яиц,Салат из кальмаров и яиц,dinner,yes,no,"ready for re-review after staging cleanup: removed blank/header rows, split salt/pepper/bread, and normalized apple half portion.",low,,pending_estimation_needed,generated,photos/selected53_r152_salat_iz_kalmarov_i_yaits.png,
Все рецепты!R522 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2700-3000 вариант 3.pdf | variant 3 ужин,СЫРНО-ТВОРОЖНАЯ ЛЕПЕШКА,Сырно-творожная лепёшка,dinner,no,no,SKIP: user requested deletion; row retained for traceability.,high,Сырные лепёшки / Сырная лепёшка на сковороде,pending_estimation_needed,generated,photos/selected53_r522_syrno_tvorozhnaya_lepeshka.png,SKIP — Удалить.
Все рецепты!R388 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2000 вариант 6.pdf | variant 6 завтрак,творожный омлет,Творожный омлет,breakfast,no,no,SKIP: user requested deletion; row retained for traceability.,high,Омлет с творогом и зеленью / Творог с яйцом на сковороде,pending_estimation_needed,generated,photos/selected53_r388_tvorozhnyy_omlet.png,SKIP — Удалить.
Все рецепты!R402 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2100-2200 вариант 1.pdf | variant 1 ужин,Фрикасе из курицы и грибов,Фрикасе из курицы и грибов,dinner,yes,no,"ready for re-review after staging cleanup: removed blank/unit rows, split chicken/oil/mushrooms/smetana, and restored тушить 7 минут.",low,,pending_estimation_needed,generated,photos/selected53_r402_frikase_iz_kuritsy_i_gribov.png,
Все рецепты!R238 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1600 вариант 4.pdf | variant 4 завтрак,бутерброды с сыром и слабосоленой семгой,Бутерброды с сыром и слабосолёной сёмгой,breakfast,yes,no,ready for re-review after staging cleanup: expanded one sparse sandwich step into assembly steps; medium duplicate risk retained.,medium,Хлебцы с авокадо и лососем / Бутерброд с сыром и ветчиной,pending_estimation_needed,generated,photos/selected53_r238_buterbrody_s_syrom_i_slabosolenoy_semgoy.png,
Все рецепты!R250 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1650 вариант 6.pdf | variant 6 обед,Куриная запеканка под сыром,Куриная запеканка под сыром,lunch,yes,no,ready for re-review after staging cleanup: split glued potato/chicken row and parsed cauliflower and cheese gram amounts.,medium,Куриная запеканка кордон блю с брокколи и фузилли / куриные запеканки,pending_estimation_needed,generated,photos/selected53_r250_kurinaya_zapekanka_pod_syrom.png,
Все рецепты!R185 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 7.pdf | variant 7 обед,Плов с говядиной,Плов с говядиной,lunch,yes,no,ready for re-review after staging cleanup: normalized OCR steps and clarified water as a source ratio instead of inventing a precise gram amount.,medium,"Ленивый плов с курицей / Плов с чоризо, томатами и лимоном",pending_estimation_needed,generated,photos/selected53_r185_plov_s_govyadinoy.png,
