source_id,clean_title,prompt,negative_prompt,photo_status,photo_path
Все рецепты!R62 | SWBAND.CO | page/file 70,Тёплый салат из брокколи и эдамаме,"Реалистичная фуд-фотография блюда «Тёплый салат из брокколи и эдамаме» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (брокколи, эдамаме, рафинированное масло, лимонный сок, оливковое масло extra virgin), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r62_teplyy_salat_iz_brokkoli_i_edamame.png
Все рецепты!R67 | SWBAND.CO | page/file 75,"Тёплый салат с кальмарами, сельдереем и апельсином","Реалистичная фуд-фотография блюда «Тёплый салат с кальмарами, сельдереем и апельсином» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (кальмары, сельдерей стеблевой, апельсин, рукола, оливковое масло, лимонный сок), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r67_teplyy_salat_s_kalmarami_seldereem_i_apelsinom.png
Все рецепты!R84 | SWBAND.CO | page/file 93,Холодный суп из авокадо и зелёного горошка,"Реалистичная фуд-фотография блюда «Холодный суп из авокадо и зелёного горошка» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (авокадо, зелёный горошек 350 г, йогурт, сок лайма, мята, соль), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r84_holodnyy_sup_iz_avokado_i_zelenogo_goroshka.png
Все рецепты!R59 | SWBAND.CO | page/file 66,Хрустящая зелёная фасоль с кунжутным йогуртом,"Реалистичная фуд-фотография блюда «Хрустящая зелёная фасоль с кунжутным йогуртом» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (зелёная фасоль, рафинированное масло, йогурт, кунжут молотый, кунжут, лимонный сок), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r59_hrustyaschaya_zelenaya_fasol_s_kunzhutnym_yogurtom.png
Все рецепты!R91 | SWBAND.CO | page/file 101,Хрустящие роллы из рисовой бумаги с креветкой,"Реалистичная фуд-фотография блюда «Хрустящие роллы из рисовой бумаги с креветкой» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (рисовая бумага, креветки очищенные, морковь, огурец, авокадо, кинза), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r91_hrustyaschie_rolly_iz_risovoy_bumagi_s_krevetkoy.png
Все рецепты!R87 | SWBAND.CO | page/file 97,Хрустящие творожно-кабачковые оладьи,"Реалистичная фуд-фотография блюда «Хрустящие творожно-кабачковые оладьи» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (кабачок, творог, яйца, цельнозерновая мука, укроп, соль), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r87_hrustyaschie_tvorozhno_kabachkovye_oladi.png
Все рецепты!R52 | SWBAND.CO | page/file 59,Цветная капуста целиком с зелёным соусом,"Реалистичная фуд-фотография блюда «Цветная капуста целиком с зелёным соусом» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (цветная капуста, рафинированное растительное масло, йогурт, петрушка, укроп, кунжут молотый), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r52_tsvetnaya_kapusta_tselikom_s_zelenym_sousom.png
Все рецепты!R138 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 5.pdf | variant 5 завтрак,Лёгкие ленивые вареники,"Реалистичная фуд-фотография блюда «Лёгкие ленивые вареники» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (легкие ленивые вареники, творог, яйцо, мука пшеничная 30 г (), щепотка соли или подсластитель), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r138_legkie_lenivye_vareniki.png
Все рецепты!R375 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2000 вариант 3.pdf | variant 3 обед,Макаронник с куриным филе,"Реалистичная фуд-фотография блюда «Макаронник с куриным филе» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (макаронник 1 порция, макароны barilla или любые из, твердых сортов пшеницы, куринное филе 200 г грамм, луковица, 5-), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r375_makaronnik_s_kurinym_file.png
Все рецепты!R120 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 1.pdf | variant 1 обед,Грудка индейки с рисом и овощной нарезкой,,,not_required_skipped,
Все рецепты!R190 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1500 вариант 1.pdf | variant 1 обед,Грудка индейки с рисом и овощной нарезкой,,,not_required_skipped,
Все рецепты!R132 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 3.pdf | variant 3 ужин,"Салат с семгой, перепелиными яйцами и помидорами черри","Реалистичная фуд-фотография блюда «Салат с семгой, перепелиными яйцами и помидорами черри» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (салат с семгой, перепелиными, яйцами и помидорами черри, семга слабосоленая, помидоры черри или, коктейльные помидоры, шт. (100), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r132_salat_s_semgoy_perepelinymi_yaytsami_i_pomidoram.png
Все рецепты!R40 | SWBAND.CO | page/file 46,Шаурма фит,"Реалистичная фуд-фотография блюда «Шаурма фит» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (тонкий армянский лаваш, куриное филе, греческий йогурт, огурцы, томаты, краснокочанная капуста), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r40_shaurma_fit.png
Все рецепты!R357 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 1900 вариант 6.pdf | variant 6 ужин,Салат Цезарь,"Реалистичная фуд-фотография блюда «Салат Цезарь» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (помидоры черри, куриное филе, пармезан, айсберг, перепелиные яйца, батон), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r357_salat_tsezar.png
Все рецепты!R145 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 6.pdf | variant 6 обед,"Картошка, тушенная с куриными сердечками","Реалистичная фуд-фотография блюда «Картошка, тушенная с куриными сердечками» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (картофель, куриные сердечки, лук репчатый, чеснок, кокосовое масло, паприка молотая), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r145_kartoshka_tushennaya_s_kurinymi_serdechkami.png
Все рецепты!R135 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 4.pdf | variant 4 обед,Говяжья печень с отварным картофелем,"Реалистичная фуд-фотография блюда «Говяжья печень с отварным картофелем» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (говяжья печень, лук репчатый, морковь, кокосовое масло, картофель), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r135_govyazhya_pechen_s_otvarnym_kartofelem.png
Все рецепты!R55 | SWBAND.CO | page/file 62,Печёные перцы с белой фасолью и травами,"Реалистичная фуд-фотография блюда «Печёные перцы с белой фасолью и травами» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (перцы болгарские, белая фасоль варёная, рафинированное масло, петрушка, базилик 15 г, чеснок), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r55_pechenye_pertsy_s_beloy_fasolyu_i_travami.png
Все рецепты!R65 | SWBAND.CO | page/file 73,"Салат с огурцом, редисом и творожным кремом","Реалистичная фуд-фотография блюда «Салат с огурцом, редисом и творожным кремом» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (огурцы, редис, зелёный лук, укроп, мягкий творог, греческий йогурт), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r65_salat_s_ogurtsom_redisom_i_tvorozhnym_kremom.png
Все рецепты!R66 | SWBAND.CO | page/file 74,Томатный салат с белой фасолью и базиликом,"Реалистичная фуд-фотография блюда «Томатный салат с белой фасолью и базиликом» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (томаты, белая фасоль варёная, красный лук, базилик, петрушка, оливковое масло), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r66_tomatnyy_salat_s_beloy_fasolyu_i_bazilikom.png
Все рецепты!R64 | SWBAND.CO | page/file 72,Тёплый салат с чечевицей и томатами,"Реалистичная фуд-фотография блюда «Тёплый салат с чечевицей и томатами» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (зелёная чечевица сухая 180 г, томаты, петрушка, мята, красный лук, лимонный сок), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r64_teplyy_salat_s_chechevitsey_i_tomatami.png
Все рецепты!R70 | SWBAND.CO | page/file 78,Хрустящий салат с брокколи и нутом,,,not_required_skipped,
Все рецепты!R44 | SWBAND.CO | page/file 50,Бургер в пите с кунжутным йогуртом,"Реалистичная фуд-фотография блюда «Бургер в пите с кунжутным йогуртом» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (цельнозерновая пита, куриный фарш, огурец, томаты, йогурт, кунжут молотый), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r44_burger_v_pite_s_kunzhutnym_yogurtom.png
Все рецепты!R49 | SWBAND.CO | page/file 55,Хрустящие рулеты из лаваша с креветкой,"Реалистичная фуд-фотография блюда «Хрустящие рулеты из лаваша с креветкой» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (лаваш, креветки, рикотта, укроп, яйцо), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r49_hrustyaschie_rulety_iz_lavasha_s_krevetkoy.png
Все рецепты!R76 | SWBAND.CO | page/file 85,Веганская окрошка на квасе с нутом,"Реалистичная фуд-фотография блюда «Веганская окрошка на квасе с нутом» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (варёный нут, квас, огурцы, редис, авокадо, зелёный лук), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r76_veganskaya_okroshka_na_kvase_s_nutom.png
Все рецепты!R72 | SWBAND.CO | page/file 80,Огуречный салат с мацони и грецким орехом,"Реалистичная фуд-фотография блюда «Огуречный салат с мацони и грецким орехом» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (огурцы, мацони, грецкие орехи, укроп, чеснок, соль), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r72_ogurechnyy_salat_s_matsoni_i_gretskim_orehom.png
Все рецепты!R81 | SWBAND.CO | page/file 90,Гаспачо с белой фасолью,"Реалистичная фуд-фотография блюда «Гаспачо с белой фасолью» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (томаты, болгарский перец, белая фасоль, варёная, огурец, чеснок, оливковое масло), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r81_gaspacho_s_beloy_fasolyu.png
Все рецепты!R61 | SWBAND.CO | page/file 69,ПП-табуле с булгуром и зеленью,"Реалистичная фуд-фотография блюда «ПП-табуле с булгуром и зеленью» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (булгур, петрушка, мята, огурцы, томаты, лимонный сок), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r61_pp_tabule_s_bulgurom_i_zelenyu.png
Все рецепты!R142 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 5.pdf | variant 5 ужин,Горбуша стейки с вареным картофелем и овощной нарезкой,"Реалистичная фуд-фотография блюда «Горбуша стейки с вареным картофелем и овощной нарезкой» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (горбуша стейки с вареным, картофелем и овощной, нарезкой. горбуша свежая, шт, помидор), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r142_gorbusha_steyki_s_varenym_kartofelem_i_ovoschnoy.png
Все рецепты!R156 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1350-1400 вариант 1.pdf | variant 1 перекус 2,Питьевой йогурт с яблоком или грушей,"Реалистичная фуд-фотография блюда «Питьевой йогурт с яблоком или грушей» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (питьевой йогурт без сахара, яблоко или груша), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r156_pitevoy_yogurt_s_yablokom_ili_grushey.png
Все рецепты!R123 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 2.pdf | variant 2 завтрак,Омлет с сыром,"Реалистичная фуд-фотография блюда «Омлет с сыром» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (яйца, молоко миндальное, соль, перец - по вкусу, сыр, легкий), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r123_omlet_s_syrom.png
Все рецепты!R152 | InfoVolna | page/file [InfoVolna.com] Рекомендованый план питания 1300 вариант 7.pdf | variant 7 ужин,Салат из кальмаров и яиц,"Реалистичная фуд-фотография блюда «Салат из кальмаров и яиц» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (, кальмары, яйца, лук, яблоко, лимонный сок), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r152_salat_iz_kalmarov_i_yaits.png
Все рецепты!R522 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2700-3000 вариант 3.pdf | variant 3 ужин,Сырно-творожная лепёшка,"Реалистичная фуд-фотография блюда «Сырно-творожная лепёшка» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (лёгкий сыр 35%, творог 2%, яйцо, рисовая мука, соль, приправы), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r522_syrno_tvorozhnaya_lepeshka.png
Все рецепты!R388 | InfoVolna | page/file [InfoVolna.com] Рекомендованный план питания 2000 вариант 6.pdf | variant 6 завтрак,Творожный омлет,"Реалистичная фуд-фотография блюда «Творожный омлет» в едином светлом редакционном стиле: готовое блюдо на простой керамической тарелке, естественный боковой дневной свет, аккуратная сервировка, видимые ключевые ингредиенты (яйца, творог(мягкий), сыр (легкий 15%), перец - по вкусу огурец свежий), аппетитная текстура, без текста, без логотипов, без людей и рук, без упаковок.","текст, логотипы, люди, руки, упаковки, водяные знаки, надписи, низкое качество",generated,photos/selected53_r388_tvorozhnyy_omlet.png
