source_id,title,classification,score_0_100,meal_type,time_estimate,difficulty,main_ingredients,source_ingredients_full,source_steps_full,source_notes_raw,source_file,why_good_or_bad,reject_reason,duplicate_risk,similar_existing_recipe,cis_availability,nutrition_feasibility,adaptation_needed,manual_review_notes,user_decision
Все рецепты!R78 | SWBAND.CO | page/file 87,Окрошка на мацони с курицей,GOOD_CANDIDATE,92,lunch,15-30 min,medium,Отварная курица; мацони; Холодная вода; Огурцы - ЗОО г; Яйца; Зелёный лук,"Отварная курица — 350 г
• мацони - 500 г
• Холодная вода — 500 мл
Огурцы - ЗОО г
Яйца — 4 шт.
• Зелёный лук — 25 г
Укроп — 20 г
• Соль —6 г
О
Мацони, разведённый водой, создаёт более мягкую основу, чем
кефир. Живые лактобактерии мацони сохраняются в холодном блюде.
Варёная курица — лёгкий белок, не перегружающий пищеварение в
жару.","1.
Мацони развести холодной водой
до консистенции жидкой сметаны.
2.
Курицу нарезать кубиком.
З.
Яйца сварить вкрутую, нарезать.
Огурцы нарезать.
4.
Всё соединить, посолить.
Охладить 30 мин.
5.","Показания: При гастрите в стадии ремиссии.и....'„њу твительном
ЖКТ. Сама мягкая из",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R73 | SWBAND.CO | page/file 81,Салат из запечённых овощей с бабагануш заправкой,GOOD_CANDIDATE,92,snack,45-90 min,medium,Кабачок; Баклажан; Перец сладкий; Морковь; Лук красный; Помидоры черри,"Кабачок (цукини) — 1 шт.
Баклажан — 1 шт.
Перец сладкий — 1 шт.
Морковь — 1 шт.
Лук красный — 1 шт.
Помидоры черри — 150 г
Рафинированное рисовое масло — 1 ч. л.
Заправка: мякоть запечённого баклажана
(1/2 шт.), натуральный йогурт — 2 ст. л. ,
лимонный сок — 1 ст. л., чеснок — V2
зубчика, тахини — 1 ч. л. (по желанию),
копчёная паприка — щепотка, соль, перец
Для подачи: зёрна граната, свежая зелень
(по желанию)
О
Запечённые овощи теряют грубую клетчатку, но увеличивают биодоступность
каротиноидов. Баклажановая заправка содержит хлорогеновую кислоту,
замедляющую усвоение сахара. Тахини в заправке добавляет кальций и жиры,
улучшающие усвоение каротиноидов из перца и мо кови.","1.
Нарезать овощи крупными кусками,
сбрызнуть маслом, запечь при 2000С 25—
30 мин (черри добавить в последние 10
мин).
2.
Для заправки: пробить блендером мякоть
баклажана с йогуртом, лимоном,
чесноком и специями до кремовой
консистенции.
Запечённые овощи выложить на блюдо.
З.
4.
Полить заправкой.
5.
Посыпать зеленью и гранатом.","Показания: При диа и снижении ве а Херошо вписыва ся в
средиземном ский тип пито",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R71 | SWBAND.CO | page/file 79,Салат из печёного перца и творога,GOOD_CANDIDATE,92,snack,10-20 min,easy,"Перцы; Творог 5%; Базилик; Петрушка; Чеснок; А Запечённый перец содержит больше витамина С, чем свежий","Перцы — 500 г
Творог 5% — 250 г
Базилик — 15 г
Петрушка — 15 г
Чеснок — З г
Соль
О
А Запечённый перец содержит больше витамина С, чем свежий —
термообработка переводит аскорбиновую кислоту в более
биодоступную форму. Творог добавляет белок и кальций без лишнего
жира. Базилик и петрушка добавляют витамин К.","Перцы запечь при 2200С 20—25
1.
мин до подпалин.
2.
Снять кожицу, нарезать
полосками.
З.
Смешать творог с зеленью и
чесноком.
4.
Выложить слоями: творог — перцы.","Показания: При дефиците витамина С и сниженном иммунитете.
Курящим особенно полезен — потребность в С у них ПОВЫШена в 1,5—2
раза.
Нащ форум:",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,good,good,,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R69 | SWBAND.CO | page/file 77,Салат из цукини с пармезаном и руколой,GOOD_CANDIDATE,92,snack,10-20 min,easy,"Цукини; Пармезан; Рукола; Заправка: лимон; мл, соль; оливковое масло","Цукини — 500 г
• Пармезан — 50 г
Рукола — 80 г
Заправка: лимон — 15 мл,
— 10 мл, соль
оливковое масло","Овощечисткой сделать длинные
1.
ленты из цукини.
2.
Смешать с руколой.
Заправить лимоном и маслом.
З.
4.
Посыпать пармезаном стружкой.","О Сырой цукини содержит витамин С в большем количестве, чем
термически обработанный. Кремний в цукини важен для синтеза
коллагена и здоровья суставов. Пармезан в небольшом количестве (50
г на 4 порции) добавляет кальций и умами-вкус. Лимонная заправка
без нагрева сохраняет максимум витамина С.
Показания: При снижении веса — лёгкий объёмный салат. Хорошо
подходит при диабете.
Порция: Тторелка (—200 г",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; everyday cooking method,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R83 | SWBAND.CO | page/file 92,Свекольник с ацидофилином,GOOD_CANDIDATE,92,lunch,30-60 min,medium,Свёкла; Огурцы; Яйца; Ацидофилин; Укроп,"• Свёкла — 500 г
Огурцы — 250 г
Яйца — 4 шт.
Ацидофилин — 400 г
• Вода — 400 мл
Укроп — 15 г
. Соль —5 г","1.
Свёклу отварить, натереть на
тёрке.
2.
Яйца сварить вкрутую, нарезать
кружочками.
З.
Огурцы нарезать кубиком.
4.
Смешать ацидофилин с водой.
5.
Соединить всё, приправить солью.
6.
Охладить.","О Свёкла содержит нитраты, снижающие артериальное давление, и
бетаин, защищающий клетки печени от жирового перерождения.
Ацидофилин богаче пробиотическими культурами, чем обычный кефир.
Яйца добавляют полноценный белок и витамин В12.
Показания: При
гипертони
ля•поддержкп териозе.
Порция: 00 мл",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,good,good,,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R68 | SWBAND.CO | page/file 76,"Свёкла с йогуртом, фисташками и апельсином",GOOD_CANDIDATE,92,snack,45-90 min,medium,Свёкла; Йогурт; Фисташки; Апельсин; Мята; Свёкла содержит бетаин,"• Свёкла — 500 г
• Йогурт — 150 г
Фисташки — 30 г
Апельсин — 1 шт.
• Мята — 10 г
О
Свёкла содержит бетаин — поддерживает работу печени и
участвует в метилировании ДНК. Нитраты в свёкле расширяют сосуды и
снижают артериальное давление. Апельсин добавляет витамин С,
улучшающий усвоение железа из свёклы. Фисташки содержат витамин Вб
и лютеин.
Хорошо по ходит при жэл","1.
Свёклу завернуть в фольгу, запечь
45-50 мин при 2000С.
2.
Остудить, очистить, нарезать
дольками.
З.
Апельсин очистить сегментами.
4.
Выложить йогурт на блюдо.
5.
Сверху свёклу и апельсин.
Посыпать фисташками и мятой.
подде жки
нкции печени.",Порция: 1 тарелка МОО г) -,[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,good,good,,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R53 | SWBAND.CO | page/file 60,Стейки из капусты с тахини-йогуртом и нутом,GOOD_CANDIDATE,92,unknown,15-30 min,medium,Капуста белокочанная; Варёный нут; Зира; Соус: греческий йогурт; тахини; оливковое масло extra virgin,"Капуста белокочанная — 1 кг
Варёный нут — 300 г
Рафинированное масло — 20 мл
Зира —4 г • Соль —8 г
Соус: греческий йогурт
тахини — 30 г, лимонный сок — 20 мл,
оливковое масло extra virgin — 10 мл","1.
Капусту нарезать стейками
толщиной 2—3 см. Смазать маслом,
посолить.
Запекать 30 минут при 210 0 С, пару
2.
раз перевернуть — капуста должна
подрумяниться.
З.
Нут прогреть на сухой сковороде с
зирой и щепоткой соли 4 минуты.
4.
Смешать йогурт, тахини, лимонный
сок и оливковое масло — получится
соус.
5.
Подача: капуста + нут + соус сверху.","О • Белокочанная капуста содержит индол-З-карбинол, который регулирует
метаболизм эстрогенов. Нут добавляет резистентный крахмал — пребиотик
для кишечн а.Тахини в соусе•поставляет•ка
и
Показания: При
ки. Для веге рианцев — как",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R45 | SWBAND.CO | page/file 51,Такос на домашней чечевичной лепёшке,GOOD_CANDIDATE,92,unknown,10-20 min,medium,Красная чечевица сухая; Фарш индейки; Авокадо; Томаты; Йогурт; Чечевичная лепёшка,"Красная чечевица сухая — 250 г
• вода - 350 мл
• Соль —6 г
Фарш индейки — 500 г
• Авокадо — 100 г
• Томаты — 200 г
• Йогурт — 100 г
• Соль — 5 г
А
О
Чечевичная лепёшка — безглютеновая альтернатива пшеничной с
низким гликемическим индексом. Чечевица содержит резистентный крахмал,
питающий бифидобактерии и лактобактерии. Фарш индейки добавляет белок
при минимуме жира.","1.
Чечевицу замочить на ночь.
2.
Пробить с водой до консистенции
теста.
З.
Испечь тонкие лепёшки как блины.
4.
Индейку быстро обжарить с солью и
специями.
5.
Пробить блендером авокадо с
йогуртом и чесноком — соус.
6.
Томаты нарезать тонкими слайсами.
7.
Собрать такос: лепёшка — соус —
индейка — томаты.","Показания: ПфйДиабетё'2'Тйп
Хорошо
идеееђ+*ј$ена.
подходит вегетарианцам",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R85 | SWBAND.CO | page/file 95,Томатная овсянка с яйцом пашот,GOOD_CANDIDATE,92,breakfast,up to 15 min,medium,"Томаты; Овсяные хлопья; Яйца; Пармезан; Оливковое масло; А Овсяные хлопья содержат бета-глюканы, снижающие уровень","Томаты — 400 г
Овсяные хлопья
- 180 г
вода - 700 мл
Яйца — 4 шт.
Пармезан — 50 г
Оливковое масло — 20 мл
Соль — 6 г • Чёрный перец — 2 г
А Овсяные хлопья содержат бета-глюканы, снижающие уровень
О
холестерина ЛПНП. При тушении томатов повышается биодоступность
ликопина. Это несладкая каша — на первый взгляд необычно, но вкус
насыщенный.
и","1.
Нарежьте томаты кубиком. Тушите с
50 мл воды на среднем огне 7 минут.
2.
Добавьте овсянку и оставшуюся воду.
Варите 15 минут, помешивая.
З.
Добавьте пармезан, масло и соль.
4.
для пашота: вскипятите воду,
уменьшите огонь до слабого кипения.
Аккуратно разбейте яйцо в воду.
5.
Варите З минуты.
6.
Выложите яйцо пашот сверху на
овсянку.","и
Показания: при повы
не — бета-глюкан доказанно
снижают ЛП П. Подходит дляоктивнэго
очего дня.",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R62 | SWBAND.CO | page/file 70,Тёплый салат из брокколи и эдамаме,GOOD_CANDIDATE,92,snack,up to 15 min,unknown,"Брокколи; Эдамаме; Заправка: лимонный сок; оливковое масло extra virgin; мл, соль","Брокколи — 500 г
Эдамаме — 300 г
• Рафинированное масло — 15 мл
• Заправка: лимонный сок — 20 мл,
оливковое масло extra virgin — 10
мл, соль — 5 г","1.
Разберите брокколи на соцветия и
быстро обжарьте на сильном огне
в течение 4 минут.
2.
Отварите эдамаме 3—4 минуты.
З.
Смешайте лимонный сок и
оливковое масло.
4.
Полейте тёплые овощи заправкой.
Подавайте сразу.","О А Брокколи содержит сульфорафан — одно из наиболее изученных
противоопухолевых веществ. Быстрая обжарка (4 минуты) сохраняет
максимум сульфорафана. Эдамаме содержит полноценный
растительный белок со всеми незаменимыми аминокислотами —
редкость для бобовых.
Показания: Для он ог
диабете. Дл",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities,,low,,good,good,,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R67 | SWBAND.CO | page/file 75,"Тёплый салат с кальмарами, фенхелем и апельсином",GOOD_CANDIDATE,92,snack,up to 15 min,medium,Кальмары; ь ¯; Апельсин; Рукола; Заправка: оливковое масло; лимон,"• Кальмары — 500 г
ь ¯ 250 г
Апельсин — 1 шт.
Рукола — 100 г
• Заправка: оливковое масло — 10 мл,
лимон — 10 мл, соль, перец","1.
Кальмары очистить, нарезать
кольцами. Обжарить на сильном
огне по 2 мин.
2.
Фенхель нарезать тонкими
ломтиками.
З.
Апельсин очистить сегментами.
4.
Смешать тёплые кальмары,
фенхель, апельсин и руколу.
5.
Заправить маслом и лимоном.","О Кальмар содержит таурин и йод. Фенхель содержит анетол — снимает
вздутие и спазмы кишечника. Апельсин добавляет витамин С, усиливающий
усвоение негемового железа. Подавать тёплым сразу после приготовления
— кальмар быстро становится резиновым.
Показания: При дефиците йода и склонности к взд ию. Хорошо
подходит как лёгкий белковый обе
орум:
тарелка (—300 г
Порция:",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
Все рецепты!R84 | SWBAND.CO | page/file 93,Холодный суп из авокадо и зелёНОГ0 горошка,GOOD_CANDIDATE,92,lunch,up to 15 min,unknown,Авокадо; Зелёный горошек; Йогурт; Сок лайма; Мята,"• Авокадо — 200 г
• Зелёный горошек
- 350 г
• Йогурт — 200 г
Сок лайма — 15 мл
• Мята — 10 г
• Соль —4 г","Горошек бланшировать 2 мин.
1.
2.
Пробить в блендере авокадо,
горошек, йогурт, лайм, мяту и
соль.
Охладить.
З.
4.
Подавать со льдом.","О Авокадо в холодном супе сохраняет все мононенасыщенные жиры
и витамин Е. Зелёный горошек содержит лютеин — накапливается в
сетчатке и защищает зрение. Мята добавляет ментол и освежает.
Лайм сохраняет зелёный цвет авокадо при хранении.
Показания: При снижении веса и диабете. Хорошо подходит
вегетарианцам и веганам.
: -300 мл
Порци",[SWBAND.CO] 102 рецепта для снижения веса тела.pdf,clear cooking steps; usable quantities; protein-forward; balanced main ingredients,,low,,medium,good,consider replacing rare/expensive items with CIS supermarket alternatives,SWBAND row came from OCR extraction; verify text and quantities; source notes may contain OCR artifacts,
