rank,recipe_id,title,suspicion_reasons,suggested_decision,is_new_r401_r610,blocker_or_warning
16,r480_myaso_po_tayski_s_lapshoy,Мясо по-тайски с лапшой,"ingredient in list not named in steps: 4 (pork_tenderloin, udon_noodles, broccoli, ginger); truncation/fragment/weak finish: 1; e.g. Лапшу сварите по инструкции на упаковке; 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
17,r015_morkovnaya_ovsyanaya_kasha_v_stile_morkovnogo_piroga,Морковная овсяная каша в стиле морковного пирога,"ingredient in list not named in steps: 3 (milk, peanut_butter, honey); missing approximate/user-friendly measure: 1; e.g. миндальная или другая ореховая паста — 5 г; user-reported peanut-butter tiny amount: 5 g at ingredient line 7",F. needs user decision (verify tiny quantity/measure),no,warning
18,r093_nut_s_pertsem_tomatami_i_zharenym_tofu,"Нут с перцем, томатами и жареным тофу","ingredient in list not named in steps: 3 (tomato_paste, vegetable_broth, oregano); steps mention ingredient missing from list: soy_sauce; missing approximate/user-friendly measure: 1; e.g. томатная паста — 7,5 г",C. add missing ingredient/step,no,warning
19,r225_zapekanka_s_tuntsom_yaichnoy_lapshoy_goroshkom_i_hrust,"Запеканка с тунцом, яичной лапшой, горошком и хрустящей крошкой","ingredient in list not named in steps: 8 (egg_noodles, wheat_flour, chicken_broth, milk, tuna, green_peas, cottage_cheese, parmesan); missing approximate/user-friendly measure: 2; e.g. твороговочные сухари панко — 30 г; 8 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
20,r515_salat_s_grechkoy_ovoschami_i_fetoy,"Салат с гречкой, овощами и фетой","ingredient in list not named in steps: 5 (cucumber, tomato, bell_pepper, feta, lemon_juice); missing approximate/user-friendly measure: 1; e.g. фета — 50 г; 5 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
21,r498_pasta_s_konservirovannym_tuntsom_i_tomatami,Паста с консервированным тунцом и томатами,"ingredient in list not named in steps: 3 (tomato, passata, vinegar); missing approximate/user-friendly measure: 2; e.g. паста — 80 г; truncation/fragment/weak finish: 1; e.g. Добавьте еще 4—5 столовых ложек воды из-под пасты, тщательно перемешайте; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
22,r357_listya_romena_s_mango_tsukini_edamame_i_imbirno_soevym,"Листья ромэна с манго, цукини, зеленым горошком и имбирно-соевым дипом","ingredient in list not named in steps: 5 (green_onion, shishito_pepper, mint, green_peas, ginger); truncation/fragment/weak finish: 1; e.g. Добавьте на каждый лист несколько капель шрирачи, выжмите лайм из долек прямо перед едой и ешьте как открытые салатные чашечки; 5 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
23,r491_kartofelnye_zrazy_s_belymi_gribami,Картофельные зразы с белыми грибами,"ingredient in list not named in steps: 5 (allspice, thyme, wheat_flour, breadcrumbs, onion); 5 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
24,r540_zapechennyy_hek_s_ovoschami,Запеченный хек с овощами,"ingredient in list not named in steps: 5 (white_fish, carrot, onion, tomato, bell_pepper); 5 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
25,r538_lenivye_golubtsy,Ленивые голубцы с говяжьим фаршем,"ingredient in list not named in steps: 3 (onion, carrot, tomato_paste); truncation/fragment/weak finish: 1; e.g. Потушите 30 минут; missing approximate/user-friendly measure: 1; e.g. томатная паста — 65 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
26,r280_baba_ganush_s_teploy_pittoy_i_ovoschami,Баба гануш с теплой питтой и овощами,ingredient in list not named in steps: 1 (greek_yogurt); steps mention ingredient missing from list: tahini; missing approximate/user-friendly measure: 1; e.g. чеснок — 3 г,C. add missing ingredient/step,no,warning
27,r226_grecheskaya_musaka_s_baklazhanami_i_beshamelem,Греческая мусака с баклажанами и бешамелем,"ingredient in list not named in steps: 4 (lamb_ground, tomato_paste, wheat_flour, parmesan); missing approximate/user-friendly measure: 2; e.g. чеснок — 2 г; truncation/fragment/weak finish: 1; e.g. Дайте мусаке постоять 20 минут перед нарезкой; 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
28,r495_salat_s_shampinonami_i_sparzhey,Салат с шампиньонами и спаржей,"ingredient in list not named in steps: 2 (almonds, orange); missing approximate/user-friendly measure: 2; e.g. грецкие орехи (рубленые) — 10 г; truncation/fragment/weak finish: 1; e.g. Заправьте маслом, апельсиновым соком и солью; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
29,r496_karbonara_s_bekonom_i_slivkami,Карбонара с беконом и сливками,"ingredient in list not named in steps: 2 (cream, egg_yolk); missing approximate/user-friendly measure: 2; e.g. бекон сырокопченый (кусочками) — 60 г; truncation/fragment/weak finish: 1; e.g. К концу жарки кусочки уменьшатся; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
30,r551_kurinye_shashlychki_s_arahisovym_sousom,Куриные шашлычки с арахисовым соусом,"ingredient in list not named in steps: 2 (honey, rice); missing approximate/user-friendly measure: 2; e.g. арахисовая паста — 65 г; truncation/fragment/weak finish: 1; e.g. Сделайте соус из арахисовой пасты, меда, лимона и воды; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
31,r459_pisto,Писто,"ingredient in list not named in steps: 3 (tomato, sugar, tomato_paste); truncation/fragment/weak finish: 1; e.g. Добавьте кусочки кабачка/цуккини и баклажана; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
32,r461_bigus_iz_svezhey_kapusty,Бигус из свежей капусты,"ingredient in list not named in steps: 3 (beef_stew, cabbage, garlic); truncation/fragment/weak finish: 1; e.g. Если помидора нет, можно добавить томатный сок или 1-2 ложки томатной пасты; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
33,r465_kalmary_s_kartofelem_i_shpinatom,Кальмары с картофелем и шпинатом,"ingredient in list not named in steps: 3 (lemon_juice, parsley, spinach); truncation/fragment/weak finish: 1; e.g. Посолите, добавьте в сотейник немного кипятка и закройте крышкой; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
34,r508_buterbrody_s_kuritsey_i_ovoschami,Бутерброды с курицей и овощами,"ingredient in list not named in steps: 3 (tomato, cucumber, onion); truncation/fragment/weak finish: 1; e.g. Накройте вторым ломтиком хлеба; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
35,r113_amerikanskoe_ragu_iz_govyadiny_s_kartofelem,Американское рагу из говядины с картофелем,"ingredient in list not named in steps: 4 (tomato_paste, beef_chuck, wine, wheat_flour); truncation/fragment/weak finish: 1; e.g. Вмешайте горошек, прогрейте 5 минут и выровняйте соль и перец; missing approximate/user-friendly measure: 1; e.g. томатная паста — 12,5 г; 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
36,r391_grecheskiy_salat_s_kuritsey_ogurtsom_tomatami_olivkami,"Греческий салат с курицей, огурцом, томатами, оливками и фетой","ingredient in list not named in steps: 4 (tomato, feta, lemon_juice, oregano); truncation/fragment/weak finish: 1; e.g. Смешайте с оливками, оливковым маслом, лимонным соком, орегано, солью и перцем; missing approximate/user-friendly measure: 1; e.g. Фета — 45 г; 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
37,r428_domashniy_salat_iz_pecheni_treski_s_zelenym_goroshkom,Домашний салат из печени трески с зеленым горошком,"ingredient in list not named in steps: 2 (cod_liver_canned_drained, green_peas); truncation/fragment/weak finish: 1; e.g. Добавьте зеленый лук и майонез, аккуратно перемешайте; missing approximate/user-friendly measure: 1; e.g. майонез — 10 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
38,r436_lenivaya_ovsyanka_s_yagodami_i_orehami,Ленивая овсянка с ягодами и орехами,"ingredient in list not named in steps: 2 (milk, maple_syrup); truncation/fragment/weak finish: 1; e.g. Оставьте на 10-15 минут для набухания или уберите на ночь в холодильник; missing approximate/user-friendly measure: 1; e.g. грецкие орехи (рубленые) — 15 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
39,r509_hlebtsy_s_avokado_i_lososem,Хлебцы с авокадо и лососем,"ingredient in list not named in steps: 2 (salmon, cream_cheese); truncation/fragment/weak finish: 1; e.g. Добавьте кусочки лосося; missing approximate/user-friendly measure: 1; e.g. творожный сыр — 80 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
40,r527_krevetki_s_risovoy_lapshoy_i_ovoschami,Креветки с рисовой лапшой и овощами,"ingredient in list not named in steps: 2 (rice_noodles, soy_sauce); truncation/fragment/weak finish: 1; e.g. Смешайте с лапшой и соевым соусом, прогрейте 1 минуту; missing approximate/user-friendly measure: 1; e.g. соевый соус — 20 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
41,r532_ris_s_yaytsom_i_ovoschami,Рис с яйцом и овощами,"ingredient in list not named in steps: 2 (stir_fry_vegetables, garlic); truncation/fragment/weak finish: 1; e.g. Прогрейте 3-5 минут; missing approximate/user-friendly measure: 1; e.g. соевый соус — 20 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
42,r541_falafel_v_lavashe,Фалафель в лаваше,"ingredient in list not named in steps: 2 (onion, wheat_flour); truncation/fragment/weak finish: 1; e.g. Заверните в лаваш с овощами и хумусом; missing approximate/user-friendly measure: 1; e.g. хумус — 15 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
43,r410_salat_iz_konservirovannoy_krasnoy_fasoli,Салат из консервированной красной фасоли,"ingredient in list not named in steps: 4 (red_beans, lime_juice, mustard, garlic); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
44,r427_salat_iz_konservirovannoy_pecheni_treski,Салат из консервированной печени трески,"ingredient in list not named in steps: 4 (cod_liver_canned_drained, cucumber, onion, mayonnaise); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
45,r451_gulyash_s_grechkoy,Гуляш с гречкой,"ingredient in list not named in steps: 4 (onion, carrot, tomato_paste, wheat_flour); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
46,r455_ryba_pod_marinadom,Рыба под маринадом,"ingredient in list not named in steps: 4 (cod_fillet, wheat_flour, tomato_paste, vinegar); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
47,r456_govyadina_v_tomatno_smetannom_souse,Говядина в томатно-сметанном соусе,"ingredient in list not named in steps: 4 (tomato_paste, sour_cream, sugar, greens); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
48,r464_losos_zapechennyy_v_folge,"Лосось, запеченный в фольге","ingredient in list not named in steps: 4 (greens, tarragon, garlic, sour_cream); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
49,r468_skrembl_bez_yaits,Скрэмбл без яиц,"ingredient in list not named in steps: 4 (garlic, lemon_juice, tahini, ginger); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
50,r535_ovoschnoe_ragu_s_fasolyu,Овощное рагу с фасолью,"ingredient in list not named in steps: 4 (zucchini, eggplant, bell_pepper, garlic); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
51,r558_krevetki_v_kokosovom_karri_s_risom,Креветки в кокосовом карри с рисом,"ingredient in list not named in steps: 4 (rice, zucchini, bell_pepper, lemon_juice); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
52,r571_kotlety_iz_tuntsa_s_kartofelem,Котлеты из тунца с картофелем,"ingredient in list not named in steps: 4 (tuna, egg, green_onion, lemon_juice); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
53,r572_tykvennoe_karri_s_kuritsey,Тыквенное карри с курицей,"ingredient in list not named in steps: 4 (onion, garlic, ginger, rice); 4 ingredients in list are not named in steps; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
54,r621_ragu_iz_chechevitsy_s_ovoschami,Рагу из чечевицы с овощами,"ingredient in list not named in steps: 4 (potato, carrot, zucchini, tomato); truncation/fragment/weak finish: 1; e.g. Тушите на слабом огне до мягкости, в конце добавьте петрушку; 4 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
55,r405_belkovyy_salat_s_tuntsom_yaytsom_i_svezhimi_ovoschami,"Белковый салат с тунцом, яйцом и свежими овощами","ingredient in list not named in steps: 2 (tomato, lemon_juice); truncation/fragment/weak finish: 1; e.g. Выложите сверху яйца, чтобы сохранить их текстуру; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
56,r416_tselnozernovoy_hleb_s_pechenyu_treski,Цельнозерновой хлеб с печенью трески,"ingredient in list not named in steps: 2 (cod_liver_canned_drained, lemon_juice); truncation/fragment/weak finish: 1; e.g. Выложите печень на хлеб, добавьте огурец и зелень; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
57,r425_salat_iz_pecheni_treski_s_ogurtsom_i_kartofelem,Салат из печени трески с огурцом и картофелем,"ingredient in list not named in steps: 2 (cod_liver_canned_drained, lemon_juice); truncation/fragment/weak finish: 1; e.g. Смешайте все компоненты в салатнике, сбрызните лимонным соком и добавьте немного масла из консервов; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
58,r507_onigiri,Онигири,"ingredient in list not named in steps: 2 (rice, lettuce); truncation/fragment/weak finish: 1; e.g. Заверните нори конвертом; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
59,r518_kuritsa_s_risom_i_ovoschami_na_skovorode,Курица с рисом и овощами на сковороде,"ingredient in list not named in steps: 2 (stir_fry_vegetables, bell_pepper); truncation/fragment/weak finish: 1; e.g. Тушите под крышкой 20 минут; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
60,r530_svinina_s_kapustoy_na_skovorode,Свинина с капустой на сковороде,"ingredient in list not named in steps: 2 (pork_tenderloin, tomato_paste); truncation/fragment/weak finish: 1; e.g. Тушите 25-30 минут; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
61,r546_tushenaya_kapusta_s_myasom,Тушёная капуста с говяжьим фаршем,"ingredient in list not named in steps: 2 (onion, tomato_paste); truncation/fragment/weak finish: 1; e.g. Тушите 30-40 минут; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
62,r560_chili_s_govyadinoy_fasolyu_i_shokoladom,"Чили с говядиной, фасолью и шоколадом","ingredient in list not named in steps: 2 (beef_ground, onion); truncation/fragment/weak finish: 1; e.g. Тушите 25-30 минут; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
63,r583_morkovnye_oladi,Морковные оладьи,"ingredient in list not named in steps: 2 (egg, rice_flour); truncation/fragment/weak finish: 1; e.g. Жарьте маленькие оладьи по 2-3 минуты с каждой стороны до румяной корочки; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
64,r597_mini_blinchiki_iz_kabachka_s_gorbushey,Мини-блинчики из кабачка с горбушей,"ingredient in list not named in steps: 2 (egg, rice_flour); truncation/fragment/weak finish: 1; e.g. Сверху положите горбушу и зелень; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
65,r245_goanskoe_karri_s_krevetkami_kartofelem_i_kokosom,"Гоанское карри с креветками, картофелем и кокосом","ingredient in list not named in steps: 5 (chili_pepper, ginger, tomato_paste, cauliflower, green_onion); missing approximate/user-friendly measure: 4; e.g. чеснок — 3,5 г; 5 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
66,r505_pyure_iz_zelenogo_goroshka_s_krevetkami,Пюре из зеленого горошка с креветками,"missing approximate/user-friendly measure: 3; e.g. соус терияки — 15 г; truncation/fragment/weak finish: 1; e.g. Выложите пюре в тарелку, сверху положите креветки и кедровые орехи; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
67,r414_ovsyanoblin_s_tvorozhnym_syrom_konservirovannym_tuntso,"Овсяноблин с творожным сыром, консервированным тунцом, авокадо и огурцом","ingredient in list not named in steps: 1 (cream_cheese); truncation/fragment/weak finish: 1; e.g. Добавьте тунец, авокадо и огурец, сложите пополам; missing approximate/user-friendly measure: 1; e.g. творожный сыр — 25 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
68,r497_kacho_e_pepe,Качо-э-пепе,"ingredient in list not named in steps: 1 (parmesan); truncation/fragment/weak finish: 1; e.g. Пока варятся макароны, масло и перец добавьте в другую сковороду и нагрейте на среднем огне до яркого аромата; missing approximate/user-friendly measure: 1; e.g. пармезан (мелко натереть) — 15 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
69,r516_sendvich_s_kuritsey_i_syrom,Сэндвич с курицей и сыром,ingredient in list not named in steps: 1 (lettuce); truncation/fragment/weak finish: 1; e.g. Накройте сэндвич оставшимся хлебом; missing approximate/user-friendly measure: 1; e.g. твердый сыр — 25 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
70,r520_pasta_s_kuritsey_v_tomatnom_souse,Паста с курицей в томатном соусе,ingredient in list not named in steps: 1 (onion); truncation/fragment/weak finish: 1; e.g. Потушите 10 минут и смешайте с пастой; missing approximate/user-friendly measure: 1; e.g. паста — 100 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
71,r539_grechnevaya_lapsha_s_kuritsey_i_ovoschami,Гречневая лапша с курицей и овощами,"ingredient in list not named in steps: 1 (soy_sauce); truncation/fragment/weak finish: 1; e.g. Смешайте с лапшой и соевым соусом, прогрейте 1-2 минуты; missing approximate/user-friendly measure: 1; e.g. соевый соус — 20 г; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
72,r570_grechka_s_gribami_soevym_sousom_i_yaytsom,"Гречка с грибами, соевым соусом и яйцом",ingredient in list not named in steps: 1 (onion); truncation/fragment/weak finish: 1; e.g. Сверху положите жареное яйцо; missing approximate/user-friendly measure: 1; e.g. соевый соус — 20 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
73,r584_kukuruznye_lepeshki_s_fasolyu,Кукурузные лепёшки с фасолью,ingredient in list not named in steps: 1 (red_beans); truncation/fragment/weak finish: 1; e.g. Прогрейте на сухой сковороде по 2-3 минуты с каждой стороны до хруста; missing approximate/user-friendly measure: 1; e.g. томатная паста — 50 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
74,r125_lo_meyn_so_svininoy_kapustoy_i_morkovyu,"Ло-мейн со свининой, капустой и морковью","ingredient in list not named in steps: 6 (egg_noodles, pork_loin, wine, ginger, green_onion, red_cabbage); 6 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
75,r424_salat_iz_pecheni_treski_s_yaytsom,Салат из печени трески с яйцом,"ingredient in list not named in steps: 1 (cod_liver_canned_drained); truncation/fragment/weak finish: 1; e.g. Смешайте печень, яйцо, огурец и лук, приправьте зерновой горчицей и солью; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
76,r481_dorado_s_risom_i_yaytsom_pashot,Дорадо с рисом и яйцом пашот,"ingredient in list not named in steps: 1 (white_fish); truncation/fragment/weak finish: 1; e.g. Варите 3—4 минуты, пока белок не схватится; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
77,r488_bystryy_sup_s_nutom_i_kuritsey,"Быстрый суп с нутом, курицей и перцем","ingredient in list not named in steps: 1 (parsley); truncation/fragment/weak finish: 1; e.g. Посолите, добавьте паприку и зелень; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
78,r511_sendvich_s_tuntsom,Сэндвич с тунцом,ingredient in list not named in steps: 1 (tuna); truncation/fragment/weak finish: 1; e.g. Накройте вторым ломтиком хлеба; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
79,r549_tako_s_kuritsey_avokado_i_salsoy,"Тако с курицей, авокадо и сальсой","ingredient in list not named in steps: 1 (onion); truncation/fragment/weak finish: 1; e.g. Выложите в тортильи курицу, авокадо и сальсу; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
80,r573_rybnye_tako_s_ogurechno_yablochnoy_salsoy,Рыбные тако с огуречно-яблочной сальсой,ingredient in list not named in steps: 1 (white_fish); truncation/fragment/weak finish: 1; e.g. В тортилью положите рыбу и сальсу; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
81,r590_risovye_hlebtsy_so_shprotnym_pashtetom,Соленые крекеры со шпротным паштетом,"ingredient in list not named in steps: 1 (crackers); truncation/fragment/weak finish: 1; e.g. Намажьте паштет на крекеры, сверху добавьте огурец; extra ranking weight: transferred range r401-r610",D. rewrite steps for completeness,yes,warning
82,r602_kartofelnye_draniki,Картофельные драники,ingredient in list not named in steps: 1 (wheat_flour); truncation/fragment/weak finish: 1; e.g. Жарьте небольшие драники по 3-4 минуты с каждой стороны до золотистой корочки; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
83,r247_kuritsa_kung_pao_s_ovoschami_i_arahisom,Курица кунг пао с овощами и арахисом,"ingredient in list not named in steps: 5 (wine, cornstarch, ginger, green_onion, stir_fry_vegetables); missing approximate/user-friendly measure: 2; e.g. чеснок — 4 г; 5 ingredients in list are not named in steps",D. rewrite steps for completeness,no,warning
84,r429_belkovyy_salat_s_kuritsey,Белковый салат с курицей,truncation/fragment/weak finish: 1; e.g. Заправьте салат соусом и аккуратно перемешайте; missing approximate/user-friendly measure: 1; e.g. сыр пармезан — 50 г; extra ranking weight: transferred range r401-r610,D. rewrite steps for completeness,yes,warning
